ID,Name,Released,Year,Score,RatingCount,Director
1,Going Overboard(1989) ,1,1989,1.8,12208,Valerie Breiman
110,Disaster Movie(2008) ,1,2008,1.9,86557,Jason Friedberg
219,The Hottie & the Nottie(2008) ,1,2008,1.9,36019,Tom Putnam
328,Khaali Peeli(2020) ,1,2020,2.1,6182,Maqbool Khan
437,Son of the Mask(2005) ,1,2005,2.2,51998,Lawrence Guterman
546,Epic Movie(2007) ,1,2007,2.4,101236,Jason Friedberg
655,Scary Bride(2020) ,1,2020,2.4,101,Dan Grin
764,Gigli(2003) ,1,2003,2.5,45804,Martin Brest
873,Girl/Girl Scene(2019) ,1,2019,2.5,181,Tucky Williams
982,Ben 10            ,1,,2.5,2214,Man of Action
1091,The Human Centipede III (Final Sequence)(2015) ,1,2015,2.7,14442,Tom Six
1200,It's Pat: The Movie(1994) ,1,1994,2.7,9262,Adam Bernstein
1309,Cats(2019) ,1,2019,2.8,38542,Tom Hooper
1418,Meet the Spartans(2008) ,1,2008,2.8,100972,Jason Friedberg
1527,Date Movie(2006) ,1,2006,2.8,56841,Aaron Seltzer
1636,The Swing of Things(2020) ,1,2020,2.9,788,Matt Shapira
1745,Troll 2(1990) ,1,1990,2.9,30544,Claudio Fragasso
1854,Are We Dead Yet(2019) ,1,2019,2.9,115,Fredi 'Kruga' Nwaka
1963,18-Year-Old Virgin(2009) ,1,2009,2.9,8684,Tamara Olson
2072,Bolero(1984) ,1,1984,3,4950,John Derek
2181,Cruel Jaws(1995) ,1,1995,3.1,771,Bruno Mattei
2290,Bratz(2007) ,1,2007,3.1,17638,Sean McNamara
2399,Barely Legal(2011) ,1,2011,3.2,2636,Jose Montesinos
2508,The Starving Games(2013) ,1,2013,3.2,18823,Jason Friedberg
2617,Die unendliche Geschichte III: Rettung aus Phantasien(1994) ,1,1994,3.2,10638,Peter MacDonald
2726,The Return of the Texas Chainsaw Massacre(1994) ,1,1994,3.3,19820,Kim Henkel
2835,The Emoji Movie(2017) ,1,2017,3.3,54881,Tony Leondis
2944,Sharknado(2013) ,1,2013,3.3,46109,Anthony C. Ferrante
3053,Jack and Jill(2011) ,1,2011,3.3,77254,Dennis Dugan
3162,Hercules in New York(1970) ,1,1970,3.3,16998,Arthur Allan Seidelman
3271,George of the Jungle 2(2003) ,1,2003,3.3,6340,David Grossman
3380,All American Bikini Car Wash(2015) ,1,2015,3.3,1055,Nimrod Zalmanowitz
3489,Zoombies(2016) ,1,2016,3.3,2230,Glenn Miller
3598,Vampires Suck(2010) ,1,2010,3.4,46261,Jason Friedberg
3707,Pets United(2019) ,1,2019,3.4,1211,Reinhard Klooss
3816,The Master of Disguise(2002) ,1,2002,3.4,22142,Perry Andelin Blake
3925,Airplane Mode(2019) ,1,2019,3.4,3378,David Dinetz
4034,Dumb and Dumberer: When Harry Met Lloyd(2003) ,1,2003,3.4,37039,Troy Miller
4143,The Naked Brothers Band            ,1,,3.4,2982,Polly Draper
